Date,Open,High,Low,Close,Volume
2023-08-18,26636.08,26808.2,25668.92,26049.56,24026236529
2023-08-21,26188.69,26220.2,25846.09,26124.14,13371557893
2023-08-22,26130.75,26135.51,25520.73,26031.66,14503820706
2023-08-23,26040.47,26786.9,25805.0,26431.64,16985265785
2023-08-24,26431.52,26554.91,25914.93,26162.37,12871532023
2023-08-25,26163.68,26248.1,25786.81,26047.67,12406045118
2023-08-28,26089.62,26198.58,25880.6,26106.15,11002805166
2023-08-29,26102.49,28089.34,25912.63,27727.39,29368391712
2023-08-30,27726.08,27760.16,27069.21,27297.27,16343655235
2023-08-31,27301.93,27456.08,25752.93,25931.47,20181001451
2023-09-01,25934.02,26125.87,25362.61,25800.72,17202862221
2023-09-05,25814.96,25858.38,25589.99,25779.98,11094740040
2023-09-06,25783.93,25953.02,25404.36,25753.24,12752705327
2023-09-07,25748.31,26409.3,25608.2,26240.2,11088307100
2023-09-08,26245.21,26414.01,25677.48,25905.65,10817356400
2023-09-11,25831.71,25883.95,24930.3,25162.65,14600006467
2023-09-12,25160.66,26451.94,25133.08,25833.34,18657279324
2023-09-13,25837.55,26376.11,25781.12,26228.32,13072077070
2023-09-14,26228.28,26774.62,26171.45,26539.67,13811359124
2023-09-15,26533.82,26840.5,26240.7,26608.69,11479735788
2023-09-18,26532.99,27414.73,26415.52,26754.28,15615339655
2023-09-19,26760.85,27488.76,26681.61,27211.12,13807690550
2023-09-20,27210.23,27379.51,26864.08,27132.01,13281116604
2023-09-21,27129.84,27152.94,26389.3,26567.63,13371443708
2023-09-22,26564.06,26726.08,26495.53,26579.57,10578746709
2023-09-25,26253.78,26421.51,26011.47,26298.48,11997833257
2023-09-26,26294.76,26389.88,26090.71,26217.25,9985498161
2023-09-27,26209.5,26817.84,26111.46,26352.72,11718380997
2023-09-28,26355.81,27259.5,26327.32,27021.55,14079002707
2023-09-29,27024.84,27225.94,26721.76,26911.72,10396435377
2023-10-02,27976.8,28494.46,27347.79,27530.79,19793041322
2023-10-03,27508.25,27667.19,27216.0,27429.98,11407814187
2023-10-04,27429.07,27826.66,27248.11,27799.39,11143355314
2023-10-05,27798.65,28091.86,27375.6,27415.91,11877253670
2023-10-06,27412.12,28252.54,27215.55,27946.6,13492391599
2023-10-09,27934.47,27989.47,27302.56,27583.68,12007668568
2023-10-10,27589.2,27715.85,27301.65,27391.02,9973350678
2023-10-11,27392.08,27474.12,26561.1,26873.32,13648094333
2023-10-12,26873.29,26921.44,26558.32,26756.8,9392909295
2023-10-13,26752.88,27092.7,26686.32,26862.38,15165312851
2023-10-16,27162.63,29448.14,27130.47,28519.47,27833876539
2023-10-17,28522.1,28618.75,28110.19,28415.75,14872527508
2023-10-18,28413.53,28889.01,28174.25,28328.34,12724128586
2023-10-19,28332.42,28892.47,28177.99,28719.81,14448058195
2023-10-20,28732.81,30104.09,28601.67,29682.95,21536125230
2023-10-23,30140.69,34370.44,30097.83,33086.23,38363572311
2023-10-24,33077.3,35150.43,32880.76,33901.53,44934999645
2023-10-25,33916.04,35133.76,33709.11,34502.82,25254318008
2023-10-26,34504.29,34832.91,33762.32,34156.65,19427195376
2023-10-27,34156.5,34238.21,33416.89,33909.8,16418032871
2023-10-30,34531.74,34843.93,34110.97,34502.36,17184860315
2023-10-31,34500.08,34719.25,34083.31,34667.78,15758270810
2023-11-01,34657.27,35527.93,34170.69,35437.25,22446272005
2023-11-02,35441.58,35919.84,34401.57,34938.24,20998158544
2023-11-03,34942.47,34942.47,34133.44,34732.32,17158456701
