Date,Open,High,Low,Close,Volume
2023-08-18,310.33,314.17,307.43,312.29,24744800
2023-08-21,313.72,318.5,312.85,317.62,24040000
2023-08-22,321.19,321.77,317.21,318.19,16102000
2023-08-23,319.54,324.85,319.18,322.67,21166400
2023-08-24,328.45,328.58,315.73,315.74,23281400
2023-08-25,317.22,321.06,314.58,318.71,21684100
2023-08-28,321.35,321.84,317.46,319.42,14808500
2023-08-29,317.62,324.63,317.62,324.07,19284600
2023-08-30,324.32,325.45,322.13,324.44,15222100
2023-08-31,324.85,326.53,322.46,323.42,26411000
2023-09-01,326.93,327.6,322.46,324.31,14931200
2023-09-05,324.65,330.42,324.31,329.14,18553900
2023-09-06,328.97,330.04,325.81,328.48,17535800
2023-09-07,326.91,328.67,324.68,325.55,18381000
2023-09-08,325.72,331.71,325.1,329.85,19530100
2023-09-11,332.78,333.94,330.99,333.47,16583300
2023-09-12,331.38,332.34,327.1,327.38,17565500
2023-09-13,326.93,332.39,326.79,331.61,16544400
2023-09-14,334.66,336.35,332.12,334.22,20267000
2023-09-15,332.46,332.94,325.29,325.85,37666900
2023-09-18,323.46,326.03,322.04,324.71,16834200
2023-09-19,321.86,325.03,320.22,324.3,16505900
2023-09-20,325.15,325.23,316.27,316.53,21436500
2023-09-21,315.04,321.05,310.83,315.3,35529500
2023-09-22,317.07,317.2,311.97,312.82,21447900
2023-09-25,312.4,313.47,310.83,313.34,17836000
2023-09-26,310.96,311.7,305.92,308.01,26297600
2023-09-27,308.17,310.14,305.59,308.65,19410100
2023-09-28,306.88,311.31,305.36,309.49,19683600
2023-09-29,313.55,315.24,310.81,311.57,24140300
2023-10-02,312.1,317.63,311.01,317.54,20570000
2023-10-03,316.59,317.14,307.09,309.24,21033500
2023-10-04,309.88,315.81,309.85,314.74,20720100
2023-10-05,314.87,315.75,310.73,315.14,16965600
2023-10-06,312.36,324.84,312.12,322.93,25645500
2023-10-09,320.45,325.93,318.91,325.46,19891200
2023-10-10,326.58,326.72,323.34,324.05,20557100
2023-10-11,326.83,328.42,324.79,328.02,20063200
2023-10-12,326.2,329.22,324.37,326.78,19313100
2023-10-13,327.98,329.41,322.04,323.4,21072400
2023-10-16,326.67,331.69,326.23,328.24,22158000
2023-10-17,325.23,329.05,323.08,327.67,18338500
2023-10-18,328.09,331.15,323.96,325.74,23153600
2023-10-19,327.76,332.42,326.53,326.94,25052100
2023-10-20,327.33,327.53,321.15,322.35,25012600
2023-10-23,321.17,328.33,320.1,324.96,24374700
2023-10-24,326.92,327.45,323.27,326.16,31153600
2023-10-25,340.46,341.62,333.15,336.16,55053800
2023-10-26,336.04,337.11,322.62,323.55,37828500
2023-10-27,326.06,332.27,324.06,325.45,29856500
2023-10-30,329.0,334.96,327.44,332.85,22828100
2023-10-31,334.37,334.52,330.26,333.64,20265300
2023-11-01,335.3,342.82,335.16,341.49,28158800
2023-11-02,342.65,344.22,340.21,343.71,24348100
