Date,Open,High,Low,Close,Volume
2023-08-18,1891.8,1891.8,1886.1,1886.1,19.0
2023-08-21,1893.6,1893.6,1893.3,1893.3,876.0
2023-08-22,1894.6,1896.8,1892.8,1896.4,46.0
2023-08-23,1909.6,1918.5,1909.6,1918.5,547.0
2023-08-24,1920.0,1920.8,1918.2,1918.2,337.0
2023-08-25,1919.8,1919.8,1911.1,1911.1,195.0
2023-08-28,1915.5,1921.5,1915.5,1917.9,99.0
2023-08-29,1917.9,1936.5,1916.9,1936.5,1674.0
2023-08-30,1936.0,1946.4,1934.6,1944.3,396.0
2023-08-31,1944.4,1944.4,1938.2,1938.2,491.0
2023-09-01,1950.0,1950.0,1936.6,1939.8,167.0
2023-09-05,1934.4,1934.4,1924.7,1926.2,113.0
2023-09-06,1924.1,1925.3,1916.3,1918.1,24.0
2023-09-07,1917.6,1921.5,1917.5,1917.5,41.0
2023-09-08,1924.0,1924.7,1918.4,1918.4,105.0
2023-09-11,1923.0,1928.3,1921.8,1923.3,50.0
2023-09-12,1920.8,1920.8,1911.3,1911.3,365.0
2023-09-13,1910.3,1914.6,1908.9,1909.1,15.0
2023-09-14,1903.0,1910.0,1903.0,1910.0,169.0
2023-09-15,1923.5,1927.3,1923.5,1923.7,8.0
2023-09-18,1928.2,1931.5,1926.4,1931.5,19.0
2023-09-19,1934.0,1934.0,1932.0,1932.0,6.0
2023-09-20,1945.6,1945.6,1929.2,1945.6,119.0
2023-09-21,1924.0,1924.0,1919.2,1919.2,9.0
2023-09-22,1925.4,1925.4,1925.4,1925.4,1.0
2023-09-25,1916.6,1916.6,1916.6,1916.6,114.0
2023-09-26,1905.0,1905.1,1900.4,1900.4,161.0
2023-09-27,1871.6,1871.6,1871.6,1871.6,12251.0
2023-09-28,1875.5,1878.2,1856.7,1860.4,4654.0
2023-09-29,1864.3,1872.3,1846.0,1848.1,1605.0
2023-10-02,1844.1,1845.9,1826.7,1830.0,2309.0
2023-10-03,1825.0,1830.9,1816.8,1824.6,310.0
2023-10-04,1821.8,1828.2,1816.4,1818.5,357.0
2023-10-05,1826.3,1826.3,1815.6,1816.6,393.0
2023-10-06,1819.0,1831.8,1809.4,1830.2,390.0
2023-10-09,1842.5,1861.5,1842.5,1849.5,232.0
2023-10-10,1857.0,1861.4,1852.8,1861.0,236.0
2023-10-11,1869.5,1874.6,1869.1,1872.8,65.0
2023-10-12,1874.7,1881.2,1867.0,1869.3,46.0
2023-10-13,1877.5,1930.1,1877.5,1927.4,43.0
2023-10-16,1910.4,1921.1,1910.3,1921.1,53.0
2023-10-17,1914.3,1925.8,1914.3,1922.7,103.0
2023-10-18,1935.0,1957.9,1935.0,1955.3,67.0
2023-10-19,1950.1,1977.7,1945.7,1968.4,1945.0
2023-10-20,1981.1,1988.6,1980.4,1982.5,557.0
2023-10-23,1976.2,1978.9,1972.9,1976.3,127.0
2023-10-24,1970.3,1975.0,1970.3,1975.0,10.0
2023-10-25,1971.2,1985.3,1971.2,1984.1,97.0
2023-10-26,1988.2,1988.2,1980.4,1987.2,521.0
2023-10-27,1988.6,1988.6,1988.6,1988.6,372.0
2023-10-30,2004.1,2004.1,1992.5,1996.2,157.0
2023-10-31,1996.5,2001.0,1983.7,1985.2,84.0
